update,pg_mix_loss,pg_ex_loss
179,-112.94432,1.7590196
180,111.69474,-3.5955548
181,21.995417,-2.8601584
182,-40.849873,2.0532222
183,26.005789,-1.399671
184,-54.515106,0.42068666
185,-42.35688,0.06946589
186,26.767715,-2.2122629
187,31.710598,-1.9740282
188,-79.79266,2.6618128
189,64.921524,-0.7252432
190,-40.603233,1.2410059
191,97.67171,-2.1999204
192,-175.51744,5.1714187
193,72.22555,-1.1117642
194,-148.77873,4.765914
195,-111.483376,3.5848942
196,196.92133,-2.6458135
197,-8.012964,0.14465073
198,32.30238,-0.52155066
199,-25.217936,-0.5590611
200,21.76198,-0.21946068
201,15.513433,-0.31428003
202,53.3077,-0.13855809
203,57.849445,0.7597813
204,154.45657,-1.3791201
205,-22.272457,-0.41513705
206,-13.624799,-0.5320525
207,-2.2405143,-0.2663867
208,-77.10129,0.40943116
209,37.125603,-1.8640959
210,29.262909,-0.5565487
211,28.355427,-1.3080528
212,-24.392542,-0.99916536
213,75.628914,-1.4068544
214,-57.50306,1.3502147
215,102.2286,-3.0591729
216,-91.34903,2.519114
217,48.614326,-0.9387442
218,63.9011,-2.6254883
219,-2.0734572,0.00055894256
220,128.99998,-1.9665636
221,-46.645287,1.3991224
222,-28.134802,-0.73798007
223,73.21264,-1.1955333
224,13.872836,0.52519906
225,-208.85576,4.804453
226,63.158092,-3.3486934
227,133.25705,-0.7733339
228,83.04308,-2.0212846
229,-79.69684,0.6289179
230,19.508236,1.3518255
231,-0.76739806,2.3170345
232,-3.1645467,0.6779227
233,-59.978405,2.267783
234,-32.106915,1.8888662
235,82.845764,-1.235667
236,178.2055,-2.716399
237,92.489365,-2.4794483
238,-122.431015,1.7003899
239,-104.29093,1.403196
240,-109.87545,2.1036265
241,104.85756,-3.8062005
242,-18.961971,-0.21745737
243,-17.147022,-0.57020485
244,53.161537,-0.81073093
245,23.46239,-0.94689953
246,22.725128,-0.5189918
247,12.247154,-0.31569663
248,-85.18172,0.7204325
249,-99.35895,4.21752
250,95.6605,-2.744268
251,33.74105,-1.7748896
252,-71.38221,0.8080989
253,-139.49716,2.4244719
254,-13.133333,-0.80131656
255,-128.6771,2.1516771
256,-174.18704,0.82345855
257,132.04996,-3.428337
258,-29.730734,-0.1206
259,45.020893,-1.9659843
260,77.46828,-1.5394531
261,-50.93937,1.1970446
262,-13.211927,-1.2413853
263,-12.135074,0.4807188
264,33.530518,-1.7652979
265,-11.189386,-0.6983835
266,78.004814,-2.5054767
267,64.481,-2.6171718
268,53.697815,-0.4110902
269,-40.870434,-0.00915018
270,-111.20502,1.3314362
271,11.24771,-0.7966891
272,40.86067,-2.1527746
273,45.825485,-1.634351
274,-49.111717,0.5077516
275,12.568382,-1.157929
276,-4.4993486,-1.4714459
277,-12.289709,-0.0868033
278,29.798426,-1.1318967
279,-28.71045,1.6320782
280,-85.050125,0.9121561
281,-138.19066,3.0154364
282,-3.5129368,-1.0519756
283,68.10274,-2.194809
284,45.842537,-2.8033004
285,-11.711494,-0.2171766
286,-96.964066,1.9980017
287,74.46864,0.88248414
288,-30.437786,1.5773548
289,-16.899853,0.652709
290,-114.49404,1.4857277
291,-146.93149,2.8187277
292,189.14877,-3.0223641
293,144.73302,-4.363042
294,14.085619,-1.0614733
295,26.331448,-1.5326806
296,99.67005,-1.6447289
297,48.311653,-0.40395904
298,-51.34778,0.43350586
299,-187.80112,3.3615499
300,-20.173521,1.3549728
301,99.42391,-3.4504704
302,-148.12456,3.5732102
303,90.19216,-3.3730855
304,-68.38627,0.83932513
305,40.121204,-0.68377036
306,24.519041,-0.812466
